iter	RMSE
0	557368.1396
1	517530.8548
2	481914.3677
3	448766.9367
4	418894.9344
5	391331.6792
6	366658.2575
7	343916.1123
8	323442.5563
9	303818.107
10	286635.3056
11	271806.5594
12	257214.9254
13	244749.504
14	233080.4181
15	222914.5468
16	213393.6053
17	204717.4304
18	196592.9336
19	189421.9555
20	183447.7707
21	177600.1814
22	172318.947
23	167961.2214
24	163433.2038
25	159712.8417
26	156521.5685
27	153702.9153
28	150757.8472
29	148274.3885
30	145429.2186
31	142884.2722
32	141051.9328
33	139191.8017
34	137442.7755
35	135639.0669
36	133850.3192
37	132483.3894
38	131285.8935
39	130122.69
40	128913.7799
41	128067.3904
42	127072.3402
43	126046.4071
44	125220.9198
45	124225.0832
46	123249.4154
47	122396.9817
48	121836.0208
49	121135.9518
50	120411.6549
51	119889.351
52	119257.5782
53	118736.095
54	118207.4763
55	117672.092
56	116912.7366
57	116289.6542
58	115589.6798
59	115194.0622
60	114380.2619
61	113870.0532
62	113380.7711
63	112590.0616
64	112102.6869
65	111664.2586
66	111141.8834
67	110785.3498
68	109960.8252
69	109677.2799
70	109255.447
71	108876.444
72	108533.9751
73	107845.9295
74	107559.9836
75	107230.4515
76	106874.3734
77	106565.1426
78	106320.4306
79	106113.8829
80	105689.78
81	105400.4171
82	105154.541
83	104832.8344
84	104510.3878
85	104243.6745
86	103901.0392
87	103559.4705
88	103164.1552
89	102986.4182
90	102636.7496
91	102310.8133
92	102141.653
93	101529.7256
94	101276.7803
95	101049.0604
96	100865.2102
97	100611.5118
98	100189.8506
99	99945.90213
100	99613.88595
101	99462.74511
102	99178.98305
103	98960.83681
104	98619.16541
105	98435.97707
106	98238.70552
107	98081.37335
108	97872.66805
109	97688.29656
110	97453.96001
111	97302.46441
112	96779.00027
113	96600.63586
114	96451.56261
115	96162.63947
116	95989.75985
117	95764.80685
118	95631.54044
119	95416.19212
120	95158.64961
121	94962.85005
122	94566.1702
123	94158.80269
124	94037.63205
125	93804.40618
126	93704.74447
127	93474.06027
128	93365.40796
129	93122.69548
130	92811.42276
131	92508.47383
132	92206.92692
133	92012.52176
134	91682.29033
135	91406.44073
136	91297.79685
137	91081.06725
138	90927.8733
139	90769.01381
140	90499.4944
141	90259.66522
142	90073.99716
143	89835.29423
144	89642.32075
145	89470.33823
146	89295.93225
147	89212.19753
148	88994.35673
149	88786.66602
150	88604.00178
151	88460.12294
152	88281.69601
153	88069.19156
154	87866.7572
155	87612.90585
156	87287.39351
157	87049.68081
158	86836.06206
159	86612.78369
160	86427.76603
161	86215.05024
162	85962.20274
163	85797.26912
164	85570.04238
165	85463.19806
166	85100.65624
167	84747.12782
168	84571.50709
169	84399.64021
170	84226.69123
171	84115.82597
172	83557.92466
173	83406.23321
174	83290.59874
175	83127.27627
176	82911.88421
177	82772.97696
178	82524.95727
179	82403.89496
180	82186.38821
181	82037.40543
182	81937.97282
183	81759.36988
184	81642.70275
185	81383.60079
186	81190.41294
187	81081.67519
188	80930.9641
189	80861.47404
190	80676.87406
191	80497.79609
192	80047.73579
193	79909.38461
194	79776.80474
195	79695.07459
196	79465.72816
197	79409.90129
198	79143.5364
199	78908.74915
200	78624.0432
201	78432.47927
202	78306.18444
203	78203.49277
204	78050.6396
205	77800.25488
206	77623.63098
207	77407.15804
208	77215.39802
209	77026.44438
210	76929.15613
211	76847.50799
212	76778.66493
213	76561.74719
214	76413.26106
215	76349.03132
216	76086.33444
217	75917.67177
218	75739.29794
219	75544.38349
220	75326.76673
221	75190.82015
222	75013.93045
223	74886.32693
224	74820.24069
225	74602.12961
226	74480.01228
227	74391.27929
228	74272.31958
229	74174.49017
230	73964.18326
231	73820.9729
232	73529.65378
233	73439.2694
234	73370.81267
235	73323.1591
236	73175.48634
237	73046.6079
238	72838.3119
239	72725.91858
240	72651.19686
241	72545.04764
242	72294.24342
243	72216.16654
244	72046.49704
245	71850.57779
246	71698.93911
247	71541.19915
248	71411.74022
249	71278.65954
250	71088.52762
251	70968.41038
252	70825.68228
253	70715.4646
254	70578.98783
255	70372.65573
256	70280.95331
257	70204.15354
258	70110.86499
259	70028.62124
260	69849.67099
261	69704.80187
262	69610.13825
263	69525.28253
264	69467.27215
265	69353.19445
266	69235.29665
267	69181.03124
268	69130.20542
269	69029.81749
270	68908.27883
271	68823.97587
272	68740.40966
273	68683.09075
274	68636.23528
275	68472.42887
276	68433.91212
277	68357.64308
278	68323.66344
279	68237.28333
280	68118.00339
281	68053.60726
282	67995.41324
283	67898.59895
284	67821.08306
285	67772.50965
286	67724.89259
287	67566.1564
288	67431.13897
289	67307.3186
290	67283.95632
291	67254.25399
292	67136.9968
293	67038.86362
294	66865.45234
295	66739.30376
296	66666.12195
297	66585.49731
298	66499.7032
299	66470.89693
300	66422.94182
301	66302.31016
302	66235.34702
303	66125.92649
304	66060.93128
305	65956.52662
306	65863.2152
307	65796.0692
308	65727.43026
309	65624.16553
310	65492.76988
311	65459.14034
312	65349.44825
313	65294.69101
314	65250.2344
315	65164.02527
316	65119.92391
317	64952.99611
318	64817.11138
319	64764.86108
320	64729.70726
321	64647.00017
322	64593.34324
323	64504.24326
324	64348.99445
325	64306.00621
326	64245.35062
327	64205.69204
328	64182.0467
329	64159.61754
330	64126.80916
331	64068.34384
332	64021.63555
333	63973.64642
334	63829.60613
335	63739.82741
336	63632.21992
337	63584.35616
338	63495.51012
339	63459.3791
340	63313.89353
341	63261.89741
342	63245.53192
343	63152.57172
344	63061.31476
345	62819.79779
346	62784.55336
347	62676.26359
348	62598.15324
349	62499.37331
350	62308.86916
351	62291.68235
352	62276.35177
353	62258.75684
354	62228.94596
355	62212.50554
356	62061.8086
357	61974.11293
358	61956.40691
359	61939.6235
360	61923.64183
361	61841.8084
362	61772.2739
363	61731.36442
364	61674.92658
365	61614.21144
366	61547.83063
367	61488.89394
368	61418.57554
369	61274.86079
370	61191.87702
371	61130.81536
372	61023.7765
373	60967.65972
374	60914.32332
375	60851.24612
376	60810.71214
377	60741.59305
378	60667.85486
379	60546.24216
380	60488.03667
381	60411.87319
382	60359.80706
383	60288.62257
384	60230.41204
385	60190.99222
386	60140.0297
387	60107.76498
388	60045.22764
389	59992.46036
390	59913.22632
391	59821.07458
392	59761.26164
393	59701.14884
394	59651.86368
395	59598.88287
396	59553.87925
397	59488.35481
398	59453.87218
399	59430.18896
400	59386.82122
401	59307.40287
402	59255.04781
403	59128.41402
404	58991.83612
405	58925.41734
406	58875.75157
407	58792.88898
408	58766.35185
409	58668.52788
410	58613.01047
411	58506.7094
412	58397.44087
413	58287.08727
414	58211.65638
415	58177.35722
416	58090.16783
417	57986.0437
418	57915.27376
419	57861.74158
420	57805.2536
421	57747.35394
422	57646.60024
423	57581.58724
424	57500.87502
425	57439.29027
426	57387.64216
427	57327.8146
428	57271.84767
429	57199.99133
430	57136.12918
431	57085.47805
432	56999.07984
433	56930.69727
434	56881.62874
435	56780.72431
436	56750.50018
437	56681.98837
438	56561.51742
439	56500.62117
440	56405.36887
441	56274.21457
442	56222.8017
443	56155.07088
444	56096.3018
445	56040.87959
446	56022.3987
447	55974.40735
448	55899.41699
449	55831.99932
450	55755.99304
451	55737.8255
452	55678.87861
453	55636.67757
454	55537.75076
455	55476.07
456	55384.42897
457	55308.05427
458	55249.44539
459	55182.43717
460	55126.5279
461	55077.71276
462	55019.94034
463	54928.79645
464	54894.80462
465	54793.83299
466	54753.89022
467	54713.7857
468	54667.47376
469	54605.4095
470	54527.78291
471	54449.30703
472	54399.21487
473	54357.02858
474	54296.18559
475	54237.04228
476	54181.89994
477	54145.73086
478	54082.47722
479	54039.55082
480	53995.41904
481	53945.23663
482	53918.93693
483	53817.1006
484	53767.13767
485	53740.02026
486	53666.74908
487	53605.72106
488	53532.38714
489	53425.17803
490	53416.39144
491	53359.40018
492	53334.79123
493	53292.54177
494	53262.05189
495	53215.94378
496	53161.01708
497	53137.83018
498	53087.82248
499	53019.59186
500	52976.89721
501	52925.61935
502	52885.3675
503	52795.12593
504	52762.06583
505	52725.42043
506	52663.01538
507	52600.4933
508	52569.19553
509	52486.53772
510	52457.35607
511	52430.29963
512	52385.15257
513	52333.51853
514	52250.75581
515	52205.86722
516	52145.24085
517	52110.5308
518	52042.33377
519	52000.77947
520	51981.29618
521	51948.3867
522	51887.91638
523	51822.5734
524	51781.21481
525	51726.05868
526	51668.4674
527	51622.49526
528	51575.00948
529	51542.49539
530	51503.64529
531	51434.47299
532	51407.9317
533	51334.70678
534	51294.26511
535	51238.29636
536	51207.40268
537	51169.98165
538	51128.16313
539	51103.00957
540	51070.65335
541	51010.71537
542	50956.79262
543	50916.26488
544	50854.32282
545	50827.89281
546	50788.67616
547	50726.9856
548	50700.94712
549	50652.12281
550	50609.45695
551	50570.8631
552	50541.54744
553	50529.42953
554	50490.74294
555	50446.5945
556	50390.8509
557	50326.50368
558	50274.66218
559	50194.11779
560	50145.58883
561	50106.4204
562	50076.95936
563	50031.96138
564	49992.11361
565	49958.58359
566	49852.56744
567	49821.67625
568	49770.8585
569	49728.99494
570	49697.17458
571	49646.89224
572	49564.85652
573	49525.34881
574	49492.79115
575	49459.81732
576	49427.37752
577	49401.12145
578	49341.62161
579	49239.17766
580	49201.20766
581	49180.55121
582	49144.00244
583	49098.42384
584	49047.44412
585	49003.13187
586	48946.65571
587	48918.81376
588	48877.69084
589	48837.47373
590	48798.31378
591	48732.2512
592	48704.71468
593	48668.64348
594	48625.79151
595	48599.49982
596	48541.99208
597	48507.08242
598	48474.63613
599	48449.78696
600	48413.58935
601	48344.20724
602	48300.86293
603	48255.96418
604	48197.3996
605	48134.52916
606	48102.21912
607	48079.21873
608	48045.05854
609	47993.64533
610	47951.88309
611	47917.42579
612	47894.40313
613	47868.82517
614	47793.2612
615	47752.90928
616	47697.16437
617	47668.94717
618	47640.5371
619	47611.87051
620	47575.62927
621	47543.73702
622	47493.32301
623	47451.58805
624	47434.93136
625	47407.50226
626	47365.84964
627	47343.58554
628	47263.77965
629	47246.28274
630	47196.10854
631	47171.89521
632	47113.22867
633	47078.2124
634	47035.54762
635	47009.89753
636	46979.80693
637	46906.14296
638	46878.87773
639	46842.14859
640	46818.10012
641	46780.64551
642	46756.07635
643	46721.09142
644	46701.07877
645	46665.71526
646	46639.96415
647	46603.76875
648	46569.66612
649	46532.41862
650	46491.38933
651	46451.26912
652	46419.38767
653	46380.01637
654	46341.29282
655	46299.74343
656	46257.43543
657	46194.69524
658	46163.64203
659	46147.16544
660	46106.13021
661	46071.62707
662	46049.78387
663	46033.29846
