iter	Passed	Remaining
0	16	16038
1	26	13317
2	30	10252
3	34	8712
4	38	7686
5	42	7003
6	45	6485
7	49	6100
8	52	5814
9	56	5614
10	60	5424
11	64	5272
12	67	5115
13	70	4991
14	74	4864
15	77	4750
16	80	4651
17	83	4577
18	87	4505
19	90	4437
20	94	4383
21	97	4325
22	100	4273
23	104	4241
24	107	4187
25	110	4148
26	114	4130
27	117	4084
28	120	4040
29	123	4008
30	127	3977
31	130	3950
32	133	3919
33	136	3892
34	140	3867
35	143	3836
36	146	3816
37	149	3790
38	153	3772
39	156	3754
40	159	3735
41	163	3723
42	166	3697
43	170	3694
44	173	3675
45	176	3657
46	179	3644
47	182	3625
48	186	3610
49	189	3593
50	192	3580
51	195	3567
52	198	3549
53	201	3534
54	204	3519
55	207	3502
56	211	3492
57	214	3480
58	217	3465
59	220	3453
60	223	3440
61	226	3428
62	229	3417
63	232	3405
64	235	3392
65	239	3382
66	241	3369
67	245	3359
68	248	3352
69	251	3345
70	255	3336
71	258	3325
72	261	3317
73	264	3308
74	267	3300
75	270	3290
76	273	3280
77	276	3272
78	279	3261
79	282	3254
80	286	3248
81	289	3236
82	292	3229
83	295	3221
84	298	3211
85	301	3201
86	304	3193
87	307	3185
88	310	3179
89	314	3175
90	317	3168
91	320	3162
92	323	3155
93	326	3148
94	329	3140
95	332	3133
96	335	3124
97	338	3115
98	341	3109
99	344	3104
100	348	3098
101	351	3093
102	354	3086
103	357	3080
104	360	3074
105	363	3068
106	366	3062
107	370	3056
108	373	3050
109	376	3045
110	379	3040
111	382	3033
112	385	3027
113	388	3020
114	391	3016
115	395	3011
116	398	3007
117	401	3003
118	404	2996
119	407	2991
120	411	2986
121	413	2978
122	417	2973
123	420	2968
124	423	2965
125	426	2959
126	429	2954
127	433	2950
128	436	2944
129	439	2940
130	442	2935
131	445	2930
132	448	2926
133	452	2921
134	455	2916
135	458	2912
136	461	2906
137	464	2901
138	467	2897
139	470	2892
140	474	2888
141	477	2882
142	480	2876
143	483	2872
144	486	2867
145	489	2862
146	492	2857
147	495	2852
148	498	2849
149	502	2844
150	504	2839
151	508	2835
152	511	2830
153	514	2825
154	517	2822
155	520	2816
156	523	2812
157	526	2807
158	529	2803
159	533	2799
160	536	2793
161	539	2788
162	542	2785
163	545	2781
164	548	2777
165	551	2772
166	555	2768
167	558	2765
168	561	2761
169	564	2758
170	568	2753
171	571	2750
172	574	2747
173	577	2742
174	580	2738
175	584	2734
176	587	2729
177	590	2726
178	593	2721
179	596	2717
180	599	2714
181	602	2709
182	605	2705
183	609	2701
184	612	2698
185	615	2694
186	618	2690
187	622	2687
188	625	2683
189	628	2678
190	631	2674
191	634	2670
192	637	2666
193	640	2662
194	644	2660
195	648	2658
196	651	2654
197	654	2649
198	657	2645
199	660	2641
200	666	2649
201	678	2680
202	688	2701
203	695	2712
204	701	2719
205	706	2723
206	711	2724
207	714	2719
208	717	2716
209	720	2712
210	724	2708
211	727	2703
212	730	2698
213	733	2694
214	736	2690
215	739	2685
216	742	2680
217	746	2676
218	749	2671
219	752	2667
220	755	2664
221	759	2660
222	762	2656
223	765	2652
224	768	2648
225	772	2644
226	775	2640
227	778	2635
228	781	2632
229	784	2627
230	788	2624
231	791	2619
232	794	2615
233	797	2611
234	800	2607
235	803	2602
236	807	2598
237	810	2594
238	813	2589
239	816	2584
240	819	2579
241	822	2575
242	825	2572
243	829	2568
244	832	2564
245	835	2560
246	838	2556
247	841	2552
248	845	2549
249	848	2545
250	851	2541
251	855	2538
252	858	2534
253	861	2530
254	864	2526
255	867	2522
256	871	2518
257	874	2514
258	877	2511
259	880	2506
260	883	2502
261	886	2498
262	889	2493
263	893	2489
264	896	2485
265	899	2481
266	902	2477
267	905	2473
268	908	2469
269	911	2465
270	914	2461
271	918	2457
272	921	2454
273	924	2449
274	927	2445
275	930	2441
276	933	2437
277	937	2433
278	940	2429
279	943	2425
280	946	2421
281	950	2418
282	953	2415
283	956	2411
284	959	2407
285	962	2402
286	965	2398
287	968	2394
288	971	2390
289	975	2387
290	978	2383
291	981	2379
292	984	2375
293	987	2371
294	990	2367
295	994	2364
296	997	2360
297	1000	2356
298	1003	2352
299	1006	2349
300	1009	2345
301	1013	2341
302	1016	2338
303	1019	2334
304	1022	2330
305	1025	2326
306	1029	2323
307	1032	2319
308	1035	2316
309	1038	2312
310	1042	2309
311	1045	2304
312	1048	2300
313	1051	2297
